dataset,n_subsets,auc_pred,auc_att,seed
logic7,1,0.98948,0.9047233661408453,0
logic7,1,0.98919,0.8474543815817446,1
logic7,1,0.99113,0.7384176761161974,2
logic7,1,0.98817,0.9115757910655315,3
logic7,1,0.99036,0.8761320298690202,4
logic7,1,0.9874,0.8600527497513039,5
logic7,1,0.98788,0.8218292852810507,6
logic7,1,0.99069,0.8355013102454394,7
logic7,1,0.98832,0.8915720558007791,8
logic7,1,0.99171,0.8800791251220241,9
logic7,2,0.98958,0.8337007951893746,0
logic7,2,0.98997,0.9121935333224939,1
logic7,2,0.9874,0.7972367266172434,2
logic7,2,0.99016,0.7869459406993989,3
logic7,2,0.98779,0.9116407145839495,4
logic7,2,0.99055,0.9231052808383847,5
logic7,2,0.99094,0.9182228157966746,6
logic7,2,0.99036,0.8098141183145876,7
logic7,2,0.98459,0.8760188493856401,8
logic7,2,0.99021,0.8948239077579206,9
logic7,4,0.99123,0.8284704604430744,0
logic7,4,0.98367,0.9084653839147944,1
logic7,4,0.98309,0.9058077579473568,2
logic7,4,0.99055,0.8172587251877567,3
logic7,4,0.97678,0.9522958206922125,4
logic7,4,0.99418,0.7517591347061574,5
logic7,4,0.99011,0.8496281987541623,6
logic7,4,0.99278,0.8888578962366098,7
logic7,4,0.98207,0.928295475767892,8
logic7,4,0.9888,0.8341641743616252,9
logic7,9,0.9716,0.8781752361354742,0
logic7,9,0.97116,0.8934453139751702,1
logic7,9,0.9716,0.9096792013833876,2
logic7,9,0.97155,0.9265681555099454,3
logic7,9,0.9717,0.8844833017295717,4
logic7,9,0.97126,0.8889359316842683,5
logic7,9,0.97063,0.8576251015173435,6
logic7,9,0.97165,0.8872487367025771,7
logic7,9,0.97271,0.9039690400545252,8
logic7,9,0.97116,0.8799150293547073,9
logic7,19,0.97252,0.8857643881218992,0
logic7,19,0.97237,0.928606146326611,1
logic7,19,0.97281,0.9545590500924883,2
logic7,19,0.97063,0.9066112111475149,3
logic7,19,0.97281,0.9230038124746972,4
logic7,19,0.97267,0.9222488699368929,5
logic7,19,0.97233,0.9263594118540681,6
logic7,19,0.97233,0.9051027572840199,7
logic7,19,0.97291,0.9090370697916726,8
logic7,19,0.97223,0.9341207701861498,9
logic7,38,0.97276,0.8761156884993013,0
logic7,38,0.97363,0.9120435531631269,1
logic7,38,0.97242,0.8589711155272548,2
logic7,38,0.97271,0.8469805770897184,3
logic7,38,0.97422,0.9077371803182849,4
logic7,38,0.97242,0.9180978955200432,5
logic7,38,0.97397,0.9109094664146209,6
logic7,38,0.9733,0.913544731394099,7
logic7,38,0.97276,0.9364263463614214,8
logic7,38,0.97509,0.9250522371423087,9
logic7,77,0.978,0.9020565836665732,0
